id_municipio,situacao,ano_atendimento,concessionaria,tecnologia,capacidade_backhaul,capacidade_ocupada,capacidade_disponivel
4110052,Atendido,2008,BRASILTELECOM FILIAL/PR,Rádio,8,4,4
4112603,Atendido,2008,BRASILTELECOM FILIAL/PR,Fibra,8,4,4
4114351,Atendido,2008,BRASILTELECOM FILIAL/PR,Fibra,8,4,4
4115739,Atendido,2008,BRASILTELECOM FILIAL/PR,Rádio,8,4,4
4120150,Atendido,2008,BRASILTELECOM FILIAL/PR,Fibra,8,4,4
4121257,Atendido,2008,BRASILTELECOM FILIAL/PR,Rádio,8,4,4
4123600,Atendido,2008,BRASILTELECOM FILIAL/PR,Fibra,8,4,4
4128633,Atendido,2008,BRASILTELECOM FILIAL/PR,Rádio,8,4,4
4207858,Atendido,2008,BRASILTELECOM FILIAL/SC,Fibra,8,4,4
4211801,Atendido,2008,BRASILTELECOM FILIAL/SC,Fibra,8,4,4
4215059,Atendido,2008,BRASILTELECOM FILIAL/SC,Fibra,8,4,4
4217758,Atendido,2008,BRASILTELECOM FILIAL/SC,Fibra,8,4,4
4304697,Atendido,2008,BRASILTELECOM FILIAL/RS,Fibra,8,4,4
4305157,Atendido,2008,BRASILTELECOM FILIAL/RS,Rádio,8,4,4
4306353,Atendido,2008,BRASILTELECOM FILIAL/RS,Rádio,8,4,4
4306429,Atendido,2008,BRASILTELECOM FILIAL/RS,Fibra,8,4,4
4307450,Atendido,2008,BRASILTELECOM FILIAL/RS,Rádio,8,4,4
4309951,Atendido,2008,BRASILTELECOM FILIAL/RS,Rádio,8,4,4
4312443,Atendido,2008,BRASILTELECOM FILIAL/RS,Fibra,8,4,4
4313425,Atendido,2008,BRASILTELECOM FILIAL/RS,Fibra,8,4,4
4314787,Atendido,2008,BRASILTELECOM FILIAL/RS,Fibra,8,4,4
4315131,Atendido,2008,BRASILTELECOM FILIAL/RS,Rádio,8,4,4
4315453,Atendido,2008,BRASILTELECOM FILIAL/RS,Fibra,8,4,4
4318465,Atendido,2008,BRASILTELECOM FILIAL/RS,Fibra,8,4,4
4320263,Atendido,2008,BRASILTELECOM FILIAL/RS,Fibra,8,4,4
5002803,Atendido,2008,BRASILTELECOM FILIAL/MS,Rádio,8,4,4
5004809,Atendido,2008,BRASILTELECOM FILIAL/MS,Rádio,8,4,4
5106174,Atendido,2008,BRASILTELECOM FILIAL/MT,Rádio,8,4,4
5106653,Atendido,2008,BRASILTELECOM FILIAL/MT,Fibra,8,4,4
5107883,Atendido,2008,BRASILTELECOM FILIAL/MT,Rádio,8,4,4
5108857,Atendido,2008,BRASILTELECOM FILIAL/MT,Rádio,8,4,4
5200159,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
5200829,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
5204854,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
5210158,Atendido,2008,BRASILTELECOM FILIAL/GO,Fibra,8,4,4
5214903,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
5215256,Atendido,2008,BRASILTELECOM FILIAL/GO,Fibra,8,4,4
5215652,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
5220702,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
5222302,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,4,4
1501600,Atendido,2008,TELEMAR/PA,Rádio,8,6,2
1700301,Atendido,2008,BRASILTELECOM FILIAL/GO,Fibra,8,6,2
1701051,Atendido,2008,BRASILTELECOM FILIAL/GO,Fibra,8,6,2
1702703,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,6,2
1703602,Atendido,2008,BRASILTELECOM FILIAL/GO,Fibra,8,6,2
1705607,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,6,2
1706506,Atendido,2008,BRASILTELECOM FILIAL/GO,Fibra,8,6,2
1707306,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,6,2
1707405,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,6,2
1711100,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,6,2
1712009,Atendido,2008,BRASILTELECOM FILIAL/GO,Fibra,8,6,2
1713809,Atendido,2008,BRASILTELECOM FILIAL/GO,Fibra,8,6,2
1716653,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,6,2
1718451,Atendido,2008,BRASILTELECOM FILIAL/GO,Fibra,8,6,2
1718709,Atendido,2008,BRASILTELECOM FILIAL/GO,Fibra,8,6,2
1718907,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,6,2
1720259,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,6,2
1721307,Atendido,2008,BRASILTELECOM FILIAL/GO,Rádio,8,6,2
2100105,Atendido,2008,TELEMAR/MA,Rádio,8,6,2
2105658,Atendido,2008,TELEMAR/MA,Fibra,8,6,2
2106672,Atendido,2008,TELEMAR/MA,Fibra,8,6,2
2109551,Atendido,2008,TELEMAR/MA,Fibra,8,6,2
2111722,Atendido,2008,TELEMAR/MA,Rádio,8,6,2
2112274,Atendido,2008,TELEMAR/MA,Fibra,8,6,2
2201572,Atendido,2008,TELEMAR/PI,Rádio,8,6,2
2201804,Atendido,2008,TELEMAR/PI,Fibra,8,6,2
2201945,Atendido,2008,TELEMAR/PI,Rádio,8,6,2
2202653,Atendido,2008,TELEMAR/PI,Rádio,8,6,2
2202711,Atendido,2008,TELEMAR/PI,Fibra,8,6,2
2204154,Atendido,2008,TELEMAR/PI,Fibra,8,6,2
2205250,Atendido,2008,TELEMAR/PI,Rádio,8,6,2
2209351,Atendido,2008,TELEMAR/PI,Rádio,8,6,2
2209906,Atendido,2008,TELEMAR/PI,Rádio,8,6,2
2300150,Atendido,2008,TELEMAR/CE,Fibra,8,6,2
2300606,Atendido,2008,TELEMAR/CE,Rádio,8,6,2
2303931,Atendido,2008,TELEMAR/CE,Fibra,8,6,2
2304806,Atendido,2008,TELEMAR/CE,Rádio,8,6,2
2305100,Atendido,2008,TELEMAR/CE,Fibra,8,6,2
2307205,Atendido,2008,TELEMAR/CE,Fibra,8,6,2
2308203,Atendido,2008,TELEMAR/CE,Fibra,8,6,2
2309102,Atendido,2008,TELEMAR/CE,Fibra,8,6,2
2407500,Atendido,2008,TELEMAR/RN,Rádio,8,6,2
2408805,Atendido,2008,TELEMAR/RN,Rádio,8,6,2
2410108,Atendido,2008,TELEMAR/RN,Rádio,8,6,2
2412906,Atendido,2008,TELEMAR/RN,Rádio,8,6,2
2413904,Atendido,2008,TELEMAR/RN,Rádio,8,6,2
2501351,Atendido,2008,TELEMAR/PB,Rádio,8,6,2
2503605,Atendido,2008,TELEMAR/PB,Rádio,8,6,2
2503803,Atendido,2008,TELEMAR/PB,Rádio,8,6,2
2504033,Atendido,2008,TELEMAR/PB,Rádio,8,6,2
2505006,Atendido,2008,TELEMAR/PB,Rádio,8,6,2
2505238,Atendido,2008,TELEMAR/PB,Rádio,8,6,2
2510709,Atendido,2008,TELEMAR/PB,Rádio,8,6,2
2515609,Atendido,2008,TELEMAR/PB,Rádio,8,6,2
2515930,Atendido,2008,TELEMAR/PB,Rádio,8,6,2
2601805,Atendido,2008,TELEMAR/PE,Rádio,8,6,2
2611533,Atendido,2008,TELEMAR/PE,Rádio,8,6,2
2612455,Atendido,2008,TELEMAR/PE,Rádio,8,6,2
2612554,Atendido,2008,TELEMAR/PE,Rádio,8,6,2
2612703,Atendido,2008,TELEMAR/PE,Rádio,8,6,2
2616183,Atendido,2008,TELEMAR/PE,Rádio,8,6,2
2702801,Atendido,2008,TELEMAR/AL,Rádio,8,6,2
2706802,Atendido,2008,TELEMAR/AL,Rádio,8,6,2
2806305,Atendido,2008,TELEMAR/SE,Fibra,8,6,2
2905107,Atendido,2008,TELEMAR/BA,Fibra,8,6,2
2910206,Atendido,2008,TELEMAR/BA,Rádio,8,6,2
2911659,Atendido,2008,TELEMAR/BA,Rádio,8,6,2
2924108,Atendido,2008,TELEMAR/BA,Rádio,8,6,2
2930402,Atendido,2008,TELEMAR/BA,Rádio,8,6,2
2933174,Atendido,2008,TELEMAR/BA,Rádio,8,6,2
3101409,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3102852,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3103207,Atendido,2008,TELEMAR/MG,Fibra,8,6,2
3103306,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3103801,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3104809,Atendido,2008,TELEMAR/MG,Fibra,8,6,2
3108255,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3109808,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3110400,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3111903,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3114907,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3116308,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3117009,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3117207,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3118502,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3119906,Atendido,2008,TELEMAR/MG,Fibra,8,6,2
3122801,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3123403,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3126406,Atendido,2008,TELEMAR/MG,Fibra,8,6,2
3126802,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3127404,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3128253,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3129400,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3130804,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3133907,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3135001,Atendido,2008,TELEMAR/MG,Fibra,8,6,2
3135308,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3138104,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3140530,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3141900,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3142007,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3143153,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3146750,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3149150,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3150539,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3153301,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3153806,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3155009,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3155108,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3156452,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3158706,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3161403,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3162302,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3162948,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3165800,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3167400,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3168051,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3168200,Atendido,2008,TELEMAR/MG,Fibra,8,6,2
3169059,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3169109,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3169505,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
3172202,Atendido,2008,TELEMAR/MG,Rádio,8,6,2
4100459,Atendido,2008,BRASILTELECOM FILIAL/PR,Rádio,8,6,2
4106852,Atendido,2008,BRASILTELECOM FILIAL/PR,Fibra,8,6,2
4107736,Atendido,2008,BRASILTELECOM FILIAL/PR,Fibra,8,6,2
4109104,Atendido,2008,BRASILTELECOM FILIAL/PR,Rádio,8,6,2
